Target Author,Target Author Name,Citing Paper,Citing Paper Title,Citing Paper Authors,Number of Authors,Citation Count
22954842600,Vasilakos A.,2-s2.0-84919883431,A multi-hop broadcast protocol design for emergency warning notification in highway VANETs,"Javed M.A,Ngo D.T,Khan J.Y",36,12
22954842600,Vasilakos A.,2-s2.0-84910146997,A survey of wireless technologies coexistence in WBAN: analysis and open research issues,"Hayajneh T,Almashaqbeh G,Ullah S,Vasilakos A.V",36,9
22954842600,Vasilakos A.,2-s2.0-84939873193,Impact of static trajectories on localization in wireless sensor networks,"Rezazadeh J,Moradi M,Ismail A.S,Dutkiewicz E",24,6
22954842600,Vasilakos A.,2-s2.0-84920999551,IM2PR: interference-minimized multipath routing protocol for wireless sensor networks,"Radi M,Dezfouli B,Bakar K.A,Razak S.A,Hwee-Pink T",25,5
22954842600,Vasilakos A.,2-s2.0-84927804535,A distributed algorithm for energy efficient and fault tolerant routing in wireless sensor networks,"Azharuddin M,Jana P.K",10,5
22954842600,Vasilakos A.,2-s2.0-84889608731,A survey on ambient intelligence in healthcare,"Acampora G,Cook D.J,Rashidi P,Vasilakos A.V",16,4
22954842600,Vasilakos A.,2-s2.0-84928956436,Secure and privacy preserving protocol for cloud-based vehicular DTNs,"Zhou J,Dong X,Cao Z,Vasilakos A.V",12,3
22954842600,Vasilakos A.,2-s2.0-84871003529,A survey on service-oriented network virtualization toward convergence of networking and cloud computing,"Duan Q,Yan Y,Vasilakos A.V",9,3
22954842600,Vasilakos A.,2-s2.0-84892614267,"A survey on the ietf protocol suite for the internet of things: Standards, challenges, and opportunities","Sheng Z,Yang S,Yu Y,Vasilakos A,McCann J,Leung K",12,2
22954842600,Vasilakos A.,2-s2.0-84937216565,Bridging e-Health and the Internet of Things: The SPHERE Project,"Zhu N,Diethe T,Camplani M,Tao L,Burrows A,Twomey N,Kaleshi D,Mirmehdi M,Flach P,Craddock I",10,1
22954842600,Vasilakos A.,2-s2.0-84938320842,A review of smart homes in healthcare,"Amiribesheli M,Benmansour A,Bouchachia A",3,1
22954842600,Vasilakos A.,2-s2.0-84926655865,"Wearable wireless health monitoring: Current developments, challenges, and future trends","Soh P.J,Vandenbosch G.A.E,Mercuri M,Schreurs D.M.M.-P",4,1
22954842600,Vasilakos A.,2-s2.0-84939796428,Mobile Crowd Sensing and Computing: The review of an emerging human-powered sensing paradigm,"Guo B,Wang Z,Yu Z,Wang Y,Yen N.Y,Huang R,Zhou X",7,1
22954842600,Vasilakos A.,2-s2.0-80052319893,Recent Developments in High Performance Computing for Remote Sensing: A Review,"Lee C.A,Gasster S.D,Plaza A,Chang C.-I,Chang C.-I,Huang B",6,1
22954842600,Vasilakos A.,2-s2.0-84906788546,Wireless body area networks: A survey,"Movassaghi S,Abolhasan M,Lipman J,Smith D,Jamalipour A",5,1
22954842600,Vasilakos A.,2-s2.0-84859261134,Definition and synergies of cognitive infocommunications,"Baranyi P,Csapo A",2,1
22954842600,Vasilakos A.,2-s2.0-84862563533,An SMDP-based service model for interdomain resource allocation in mobile cloud networks,"Liang H,Cai L.X,Huang D,Shen X,Peng D",5,1
22954842600,Vasilakos A.,2-s2.0-84873722362,A survey on context-aware mobile and wireless networking: On networking and computing environments' integration,"Makris P,Skoutas D.N,Skianis C",3,1
22954842600,Vasilakos A.,2-s2.0-84876765824,Energy-efficient repulsive cell activation for heterogeneous cellular networks,"Cho S.-R,Choi W",2,1
22954842600,Vasilakos A.,2-s2.0-84884708571,A survey on ambient-assisted living tools for older adults,"Rashidi P,Mihailidis A",2,1
22954842600,Vasilakos A.,2-s2.0-84886566669,The analytic hierarchy process: Task scheduling and resource allocation in cloud computing environment,"Ergu D,Kou G,Peng Y,Shi Y,Shi Y",5,1
22954842600,Vasilakos A.,2-s2.0-84891625184,"Spatial modulation for generalized MIMO: Challenges, opportunities, and implementation","Di Renzo M,Haas H,Ghrayeb A,Sugiura S,Hanzo L",5,1
22954842600,Vasilakos A.,2-s2.0-84896810789,Cache in the air: Exploiting content caching and delivery techniques for 5G systems,"Wang X,Chen M,Taleb T,Ksentini A,Leung V.C.M",5,1
22954842600,Vasilakos A.,2-s2.0-84904043180,Wireless sensor networks: A survey on recent developments and potential synergies,"Rawat P,Singh K.D,Chaouchi H,Bonnin J.M",4,1
22954842600,Vasilakos A.,2-s2.0-84940050310,Universal scaling for the dilemma strength in evolutionary games,"Wang Z,Kokubo S,Jusup M,Tanimoto J",4,1
